,Unnamed: 0,name,domain,logo_url,homepage_url
62,62,'KeyNeurotek Pharmaceuticals','keyneurotek.de','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1039/41039v1-max-250x250.png','http://www.keyneurotek.de'
63,63,'Traversa Therapeutics','traversathera.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/0614/50614v1-max-250x250.jpg','http://www.traversathera.com'
64,64,'Pathway Medical Technologies','pathwaymedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1072/41072v1-max-250x250.png','http://www.pathwaymedical.com'
65,65,'LensX Lasers','lensxlasers.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1073/41073v1-max-250x250.png','http://www.lensxlasers.com'
66,66,'iZumi Bio','izumibio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1142/41142v1-max-250x250.png','http://www.izumibio.com'
67,67,'Crux Biomedical','cruxbiomedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1896/41896v2-max-250x250.jpg','http://www.cruxbiomedical.com'
68,68,'Spirogen','spirogen.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0034/2336/342336v1-max-250x250.png','http://spirogen.com'
69,69,'BiPar Sciences','biparsciences.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/2189/42189v1-max-250x250.png','http://www.biparsciences.com'
70,70,'Neurelis',,,
71,71,'Eon Surgical','eon-surgical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/2705/272705v1-max-250x250.png','http://eon-surgical.com'
72,72,'Royal Health Care','royalhc.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/4190/274190v1-max-250x250.png','http://royalhc.com'
73,73,'Genesis Biopharma','genesis-biopharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/5180/275180v1-max-250x250.png','http://www.genesis-biopharma.com'
74,74,'Synosia Therapeutics','synosia.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/3264/43264v1-max-250x250.png','http://www.synosia.com'
75,75,'Fera Pharmaceuticals','ferapharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/6512/276512v1-max-250x250.jpg','http://ferapharma.com'
76,76,'Elan Corporation','elan.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/7884/297884v1-max-250x250.jpg','http://elan.com'
77,77,'Bionostics','bionostics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/7087/277087v1-max-250x250.png','http://bionostics.com'
78,78,'MARIPOSA BIOTECHNOLOGY','mariposabiotech.com',,'http://mariposabiotech.com'
79,79,'Starion Instruments','starioninstruments.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/3884/43884v1-max-250x250.jpg','http://www.starioninstruments.com'
80,80,'Puget Energy','pugetenergy.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/4166/44166v2-max-250x250.png','http://www.pugetenergy.com'
81,81,'GeoDigm','dentalemodels.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/4176/44176v1-max-250x250.jpg','http://www.dentalemodels.com'
82,82,'CORPAK MedSystems','corpakmedsystems.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/4180/44180v1-max-250x250.png','http://www.corpakmedsystems.com'
83,83,'Aldexa Therapeutics','neuronsystemsinc.com',,'http://www.neuronsystemsinc.com'
84,84,'Waterstone Pharmaceuticals','waterstonepharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/3020/283020v1-max-250x250.png','http://waterstonepharma.com'
85,85,'ENTrigue Surgical','entriguesurgical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/3431/283431v1-max-250x250.png','http://entriguesurgical.com'
86,86,'Thallion Pharmaceuticals','thallion.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4005/284005v1-max-250x250.png','http://thallion.com'
87,87,'CML HealthCare','cmlhealthcare.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4036/284036v1-max-250x250.png','http://cmlhealthcare.com'
88,88,'TrovaGene','trovagene.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4791/284791v1-max-250x250.png','http://trovagene.com'
89,89,'Bioconnect Systems','bioconnectsystems.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4870/284870v1-max-250x250.jpg','http://bioconnectsystems.com'
90,90,'Therosteon','therosteon.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/5484/45484v1-max-250x250.jpg','http://www.therosteon.com'
91,91,'DermaGen','dermagen.se','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/5490/45490v1-max-250x250.jpg','http://www.dermagen.se'
92,92,'Pipeline Biomedical Holdings','pipelinebiomed.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/6756/286756v1-max-250x250.png','http://www.pipelinebiomed.com'
93,93,'MakuCell','makucellinc.com',,'http://www.makucellinc.com'
94,94,'TALON THERAPEUTICS','talontx.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/0934/290934v1-max-250x250.png','http://talontx.com'
95,95,'Medafor','medafor.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/2578/292578v1-max-250x250.png','http://medafor.com'
96,96,'Rosetta Biosoftware','rosettabio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/6359/46359v1-max-250x250.png','http://www.rosettabio.com'
97,97,'Inimex Pharmaceuticals','inimexpharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/6632/46632v1-max-250x250.jpg','http://www.inimexpharma.com'
