,Unnamed: 0,0,1,2,deviation,strategy_prediction
516,516,0.7,2.5,2.9,3.7,True
1845,1845,1.5,2.9,2.3,3.7,True
1743,1743,1.5,1.7,3.5,3.7,True
2015,2015,1.7,1.1,3.9,3.7,True
909,909,0.9,3.3,2.3,3.7,True
567,567,0.7,3.1,2.3,3.7,True
1811,1811,1.5,2.5,2.7,3.7,True
1216,1216,1.1,3.1,2.5,3.7,True
1437,1437,1.3,1.9,3.5,3.7,True
1182,1182,1.1,2.7,2.9,3.7,True
2032,2032,1.7,1.3,3.7,3.7,True
1420,1420,1.3,1.7,3.7,3.7,True
1879,1879,1.5,3.3,1.9,3.7,True
465,465,0.7,1.9,3.5,3.7,True
242,242,0.5,3.1,2.1,3.7,True
1539,1539,1.3,3.1,2.3,3.7,True
790,790,0.9,1.9,3.7,3.7,True
307,307,0.5,3.9,0.7,3.7,True
1655,1655,1.5,0.7,3.9,3.7,True
773,773,0.9,1.7,3.9,3.7,True
1233,1233,1.1,3.3,2.3,3.7,True
310,310,0.5,3.9,1.3,3.7,True
1636,1636,1.5,0.5,3.7,3.7,True
1896,1896,1.5,3.5,1.7,3.7,True
1556,1556,1.3,3.3,2.1,3.7,True
1114,1114,1.1,1.9,3.7,3.7,True
174,174,0.5,2.3,2.9,3.7,True
630,630,0.7,3.9,0.5,3.7,True
1250,1250,1.1,3.5,2.1,3.7,True
1930,1930,1.5,3.9,1.3,3.7,True
1607,1607,1.3,3.9,1.5,3.7,True
341,341,0.7,0.5,3.9,3.7,True
1913,1913,1.5,3.7,1.5,3.7,True
1097,1097,1.1,1.7,3.9,3.7,True
225,225,0.5,2.9,2.3,3.7,True
1590,1590,1.3,3.7,1.7,3.7,True
431,431,0.7,1.5,3.9,3.7,True
35,35,0.5,0.7,3.9,3.7,True
448,448,0.7,1.7,3.7,3.7,True
635,635,0.7,3.9,1.5,3.7,True
618,618,0.7,3.7,1.7,3.7,True
1573,1573,1.3,3.5,1.9,3.7,True
807,807,0.9,2.1,3.5,3.7,True
499,499,0.7,2.3,3.1,3.7,True
1505,1505,1.3,2.7,2.7,3.7,True
2049,2049,1.7,1.5,3.5,3.7,True
858,858,0.9,2.7,2.9,3.7,True
601,601,0.7,3.5,1.9,3.7,True
293,293,0.5,3.7,1.5,3.7,True
1131,1131,1.1,2.1,3.5,3.7,True
1978,1978,1.7,0.7,3.7,3.7,True
841,841,0.9,2.5,3.1,3.7,True
1726,1726,1.5,1.5,3.7,3.7,True
482,482,0.7,2.1,3.3,3.7,True
1709,1709,1.5,1.3,3.9,3.7,True
259,259,0.5,3.3,1.9,3.7,True
1267,1267,1.1,3.7,1.9,3.7,True
16,16,0.5,0.5,3.7,3.7,True
824,824,0.9,2.3,3.3,3.7,True
1522,1522,1.3,2.9,2.5,3.7,True
1166,1166,1.1,2.5,3.3,3.9,True
226,226,0.5,2.9,2.5,3.9,True
175,175,0.5,2.3,3.1,3.9,True
243,243,0.5,3.1,2.3,3.9,True
1200,1200,1.1,2.9,2.9,3.9,True
1285,1285,1.1,3.9,1.9,3.9,True
1979,1979,1.7,0.7,3.9,3.9,True
2033,2033,1.7,1.3,3.9,3.9,True
1183,1183,1.1,2.7,3.1,3.9,True
1132,1132,1.1,2.1,3.7,3.9,True
2050,2050,1.7,1.5,3.7,3.9,True
2067,2067,1.7,1.7,3.5,3.9,True
1217,1217,1.1,3.1,2.7,3.9,True
260,260,0.5,3.3,2.1,3.9,True
1251,1251,1.1,3.5,2.3,3.9,True
1149,1149,1.1,2.3,3.5,3.9,True
1115,1115,1.1,1.9,3.9,3.9,True
2084,2084,1.7,1.9,3.3,3.9,True
961,961,0.9,3.9,1.9,3.9,True
1234,1234,1.1,3.3,2.5,3.9,True
1268,1268,1.1,3.7,2.1,3.9,True
209,209,0.5,2.7,2.7,3.9,True
192,192,0.5,2.5,2.9,3.9,True
449,449,0.7,1.7,3.9,3.9,True
2339,2339,1.9,1.1,3.9,3.9,True
1744,1744,1.5,1.7,3.7,3.9,True
791,791,0.9,1.9,3.9,3.9,True
306,306,0.5,3.9,0.5,3.9,True
311,311,0.5,3.9,1.5,3.9,True
1557,1557,1.3,3.3,2.3,3.9,True
1829,1829,1.5,2.7,2.7,3.9,True
1812,1812,1.5,2.5,2.9,3.9,True
517,517,0.7,2.5,3.1,3.9,True
1931,1931,1.5,3.9,1.5,3.9,True
1574,1574,1.3,3.5,2.1,3.9,True
568,568,0.7,3.1,2.5,3.9,True
158,158,0.5,2.1,3.3,3.9,True
466,466,0.7,1.9,3.7,3.9,True
1591,1591,1.3,3.7,1.9,3.9,True
1795,1795,1.5,2.3,3.1,3.9,True
1914,1914,1.5,3.7,1.7,3.9,True
1608,1608,1.3,3.9,1.7,3.9,True
1778,1778,1.5,2.1,3.3,3.9,True
636,636,0.7,3.9,1.7,3.9,True
1761,1761,1.5,1.9,3.5,3.9,True
1897,1897,1.5,3.5,1.9,3.9,True
1637,1637,1.5,0.5,3.9,3.9,True
